"FILE_NAME","Room","Capacity","UUID","Professor","Class","Title","Type","Time","Length"
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-004","Computer Science II","LABORATORY","M0940",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-005","Computer Science II","LABORATORY","M1045",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-006","Computer Science II","LABORATORY","M1150",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-007","Computer Science II","LABORATORY","M1255",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-008","Computer Science II","LABORATORY","M1400",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-009","Computer Science II","LABORATORY","M1505",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-010","Computer Science II","LABORATORY","M1610",50
"SPRING_2000","EMCB 224",0,"U0027837","HANSCOM, D.","CP SC 2020-011","Computer Science II","LABORATORY","M1715",50
"SPRING_2000","EMCB 105",0,"U0028245","GOPALAKRISHNAN, G.","CP SC 3100-001","Models Of Computation","LECTURE","T1045|H1045",80
"SPRING_2000","EMCB 105",0,"U0029515","SHIRLEY, P. S.","CP SC 3510-001","Algorithms/Data Structs","LECTURE","T1225|H1225",80
"SPRING_2000","EMCB 101",0,"U0031683","BRUNVAND, E. L.","CP SC 3700-001","Digital System Design","LECTURE","T0835|H0835",115
"SPRING_2000","EMCB 110",0,"U0035099","SADWICK, L. P.","CP SC 3720-002","Analog/Dig Interfaces","LECTURE","T0910|H0910",80
"SPRING_2000","MEB 2319",1,"U0035099","SADWICK, L. P.","CP SC 3720-003","Analog/Dig Interfaces","LABORATORY","T1045",180
"SPRING_2000","MEB 2319",1,"U0035099","SADWICK, L. P.","CP SC 3720-004","Analog/Dig Interfaces","LABORATORY","W1200",180
"SPRING_2000","MEB 2319",1,"U0035099","SADWICK, L. P.","CP SC 3720-005","Analog/Dig Interfaces","LABORATORY","W1505",180
